Title,Brand,Series,CPU,GPU,RAM,Storage,Display,Weight,OS,Price(Rs),Original Price(Rs),Discount Percentage,Rating,Review Count,Specs Raw,Product URL,RAM_GB,Storage_GB,Display_inches,Weight_KG
"MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH10R Thin and Light Laptop (14 Inch, PANTONE Bronze Green, 1.4 Kg, With MS Office)",Motorola,,i5,,16 gb,512 gb,14 inch,1.4 kg,windows 11,49990.0,93690.0,46.0,4.3,212.0,Intel Core 5 (Series 2) Processor | 16 GB DDR5 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty,https://www.flipkart.com/motorola-motobook-60-full-metal-oled-i5-14th-gen-intel-core-5-series-2-210h-16-gb-512-gb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itme7b254581c42e?pid=COMHAUZW4MMNNCGT&lid=LSTCOMHAUZW4MMNNCGTEVATRK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_aX0nI520_G-3gGU7QLwujdltwZDJKsuC6o7IzdxpFo4M62FxJDe2Pr9-V1v-JijIKuVA10kSFJ0JwAwXSLxyyPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=gbqfss2gw00000001765368641285&qH=c06ea84a1e3dc3c6,16.0,512.0,14.0,1.4
"MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH10R Thin and Light Laptop (14 Inch, PANTONE Bronze Green, 1.4 Kg, With MS Office)",Motorola,,i7,,16 gb,512 gb,14 inch,1.4 kg,windows 11,57990.0,104890.0,44.0,4.4,75.0,Intel Core 7 (Series 2) Processor | 16 GB DDR5 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty,https://www.flipkart.com/motorola-motobook-60-full-metal-oled-i7-14th-gen-intel-core-7-series-2-240h-16-gb-512-gb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itm96df72a170b7f?pid=COMHAUZWRPCKAGKZ&lid=LSTCOMHAUZWRPCKAGKZOGJOIN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_aX0nI520_G-3gGU7QLwujdltwZDJKsuC6o7IzdxpFo7bxUYt0INa0vDaJF26HTxvCVTuMtac3Nqx-DJoy3JCE_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=gbqfss2gw00000001765368641285&qH=c06ea84a1e3dc3c6,16.0,512.0,14.0,1.4
"Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN / NP750XGJ-LG2IN Thin and Light Laptop (15.6 Inch, Gray, 1.55 Kg, With MS Office)",Samsung,,intel core i5 13th gen 1335u,,16 gb,512 gb,15.6 inch,1.55 kg,windows 11,46990.0,82789.0,43.0,4.4,272.125,Intel Core i5 Processor (13th Gen) | 16 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=65b10451-2c08-4204-aa27-1d50f6e98e73.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=gbqfss2gw00000001765368641285&qH=c06ea84a1e3dc3c6,16.0,512.0,15.6,1.55
"ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70611WS Thin and Light Laptop (15.6 inch, Misty Grey, 1.65 Kg, With MS Office)",Asus,,intel core i5 13th gen 13420h,,16 gb,512 gb,15.6 inch,1.65 kg,windows 11,49990.0,89990.0,44.0,4.3,272.125,"Intel Core i5 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 inch) Display | Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity) | 1 Year Onsite Warranty",https://www.flipkart.com/asus-expertbook-p1-high-performance-processor-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-p1503cva-s70611ws-thin-light-laptop/p/itmf788da016f665?pid=COMH8Z2QRZVVN2RZ&lid=LSTCOMH8Z2QRZVVN2RZ9WYQBV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=65b10451-2c08-4204-aa27-1d50f6e98e73.COMH8Z2QRZVVN2RZ.SEARCH&ppt=None&ppn=None&ssid=gbqfss2gw00000001765368641285&qH=c06ea84a1e3dc3c6,16.0,512.0,15.6,1.65
"HP Victus AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15-fb3122AX Gaming Laptop (15.6 Inch, Performance Blue, Chrome Logo, 2.29 Kg, With MS Office)",Hp,victus,ryzen 7,NVIDIA GeForce RTX 2050,16 gb,512 gb,15.6 inch,2.29 kg,windows 11,62990.0,76354.0,17.0,4.4,39.0,AMD Ryzen 7 Hexa Core Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home 2024 + MISC PC Game Pass DA 3M | 1 Year Onsite Warranty,https://www.flipkart.com/hp-victus-amd-ryzen-7-hexa-core-7445hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fb3122ax-gaming-laptop/p/itm7389a8b4c5a14?pid=COMHDWKFZGHSYR59&lid=LSTCOMHDWKFZGHSYR596VT4PT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=65b10451-2c08-4204-aa27-1d50f6e98e73.COMHDWKFZGHSYR59.SEARCH&ppt=None&ppn=None&ssid=gbqfss2gw00000001765368641285&qH=c06ea84a1e3dc3c6,16.0,512.0,15.6,2.29
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) X1407QA-LY088WS Thin and Light Laptop (14 Inch, Platinum Gold, 1.49 Kg, With MS Office)",Asus,vivobook,snapdragon x,,16 gb,512 gb,14 inch,1.49 kg,windows 11,52990.0,81990.0,35.0,4.4,34.0,"Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps | 1 Year Onsite Warranty",https://www.flipkart.com/asus-vivobook-14-2025-office-2024-m365-basic-backlit-keyboard-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-x1407qa-ly088ws-thin-light-laptop/p/itm50b9ac5b77ae0?pid=COMHEDHREAGHHPGG&lid=LSTCOMHEDHREAGHHPGGDRJ6MG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_aX0nI520_G-3gGU7QLwujdltwZDJKsuC6o7IzdxpFo4-AzCPjxe5to0-vkkjK-yR4r0ZQUSn_dG34qoNFDepsw891ypMzu4_aryI8_sihJ8%3D&ppt=None&ppn=None&ssid=gbqfss2gw00000001765368641285&qH=c06ea84a1e3dc3c6,16.0,512.0,14.0,1.49
"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop (11.6 inch, Steel Grey, 1.0 kg)",Acer,aspire,intel celeron dual core,,8 gb,256 gb,11.6 inch,1.0 kg,windows 11,20499.0,33399.0,38.0,3.8,272.125,Intel Celeron Dual Core Processor | 8 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 256 GB SSD | 29.46 cm (11.6 inch) Display | 1 Year Warranty,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZ8BARKXFF&lid=LSTCOMH7NCZ8BARKXFFUI0TDB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=65b10451-2c08-4204-aa27-1d50f6e98e73.COMH7NCZ8BARKXFF.SEARCH&ppt=None&ppn=None&ssid=gbqfss2gw00000001765368641285&qH=c06ea84a1e3dc3c6,8.0,256.0,11.6,1.0
"Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG1IN / NP750XGJ-LG1IN Thin and Light Laptop (15.6 Inch, Gray, 1.55 Kg, With MS Office)",Samsung,,intel core i5 13th gen 1335u,,8 gb,512 gb,15.6 inch,1.55 kg,windows 11,43990.0,78189.0,43.0,4.4,272.125,Intel Core i5 Processor (13th Gen) | 8 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=65b10451-2c08-4204-aa27-1d50f6e98e73.COMGZUYDFZXHWYWZ.SEARCH&ppt=None&ppn=None&ssid=gbqfss2gw00000001765368641285&qH=c06ea84a1e3dc3c6,8.0,512.0,15.6,1.55
"ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS Thin and Light Laptop (14 inch, Misty Grey, 1.4 Kg, With MS Office)",Asus,,intel core i3 13th gen 1315u,,16 gb,512 gb,14 inch,1.4 kg,windows 11,37990.0,74990.0,49.0,4.3,272.125,"Intel Core i3 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 inch) Display | Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity) | 1 Year Onsite Warranty",https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-p1403cva-s60938ws-thin-light-laptop/p/itm0af4b81838b5b?pid=COMH8Z2QAWCCUCSP&lid=LSTCOMH8Z2QAWCCUCSPPZPFKG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=65b10451-2c08-4204-aa27-1d50f6e98e73.COMH8Z2QAWCCUCSP.SEARCH&ppt=None&ppn=None&ssid=gbqfss2gw00000001765368641285&qH=c06ea84a1e3dc3c6,16.0,512.0,14.0,1.4
"DELL G15 Intel Core i5 13th Gen 13450HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) OGN55301106G201RINO Gaming Laptop (15.6 inch, Dark Shadow Gray With Black Thermal Shelf, 2.65 Kg, With MS Office)",Dell,,intel core i5 13th gen 13450hx,NVIDIA GeForce RTX 3050,16 gb,1 tb,15.6 inch,2.65 kg,windows 11,75990.0,101709.0,25.0,4.2,38.0,"Intel Core i5 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Operating System | 1 TB SSD | 39.62 cm (15.6 inch) Display | Alienware Command Center,Dell Support Assist) | 1 Year Onsite Warranty",https://www.flipkart.com/dell-g15-intel-core-i5-13th-gen-13450hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3050-120-hz-ogn55301106g201rino-gaming-laptop/p/itmd1b02da743465?pid=COMH8Z22WGKPQGV3&lid=LSTCOMH8Z22WGKPQGV3DFZQXL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=65b10451-2c08-4204-aa27-1d50f6e98e73.COMH8Z22WGKPQGV3.SEARCH&ppt=None&ppn=None&ssid=gbqfss2gw00000001765368641285&qH=c06ea84a1e3dc3c6,16.0,1024.0,15.6,2.65
